Company,Location,Num Employees,Date of Effect,Date of Notification
International Paper ,Auburn,2,"Saturday, March 06, 2010",1/5/2010
CPC International Apple Company ,Tieton,75,"Monday, February 22, 2010",12/29/2009
Boeing ,Puget Sound,56,"Friday, February 19, 2010",12/18/2009
Walter Meier Inc. ,Auburn,5,"Monday, February 15, 2010",12/14/2009
Boeing ,Puget Sound,49,"Friday, January 22, 2010",11/20/2009
Kmart ,Vancouver,68,"Monday, January 18, 2010",11/18/2009
"Sun Microsystems, Inc ",Bellevue,3,"Sunday, January 03, 2010",11/3/2009
Boeing ,Puget Sound,48,"Friday, January 01, 2010",10/30/2009
BD Diagnostics ,Redmond,15,"Wednesday, December 23, 2009",11/3/2009
Boeing ,Puget Sound,53,"Friday, December 11, 2009",10/9/2009
Wells Fargo Mortgage ,Kirkland,60,"Monday, December 07, 2009",10/7/2009
Brandrud ,Auburn,104,"Friday, December 04, 2009",10/2/2009
Boeing ,Puget Sound,126,"Friday, November 20, 2009",9/18/2009
Adaptis Inc. ,Seattle,138,"Monday, November 02, 2009",9/10/2009
Microsoft ,Redmond,27,"Sunday, November 01, 2009",9/2/2009
"CROSSMARK Home Improvements, LCC ",Statewide,77,"Saturday, October 31, 2009",8/27/2009
Philips Electronics ,Snoqualmie,75,"Friday, October 30, 2009",8/26/2009
"Northwest Territorial Mint, LCC ",Auburn,109,"Saturday, October 24, 2009",8/27/2009
Boeing ,Puget Sound,279,"Friday, October 23, 2009",8/21/2009
"Expedia, Inc.  ",Tacoma,171,"Wednesday, October 21, 2009",10/22/2009
"Crossroads Services, Inc.  ",Statewide,45,"Sunday, October 18, 2009",8/14/2009
Boeing ,Puget Sound,45,"Friday, October 02, 2009",7/31/2009
Electric Boat ,Silverdale,8,"Friday, September 25, 2009",7/17/2009
"Stemilt Growers, Inc. ",Orondo,94,"Thursday, September 24, 2009",7/24/2009
Boeing ,Puget Sound,104,"Friday, September 18, 2009",7/17/2009
"Stemilt Growers, Inc. ",Orondo,67,"Thursday, September 17, 2009",7/17/2009
"SumTotal Systems, Inc. ",Bellevue,59,"Tuesday, September 15, 2009",9/10/2009
Johnson Outdoors Watercraft Inc. ,Ferndale,90,"Friday, September 04, 2009",6/30/2009
"Sun Microsystems, Inc ",Bellevue,2,"Monday, August 24, 2009",6/24/2009
Boeing ,Puget Sound,157,"Friday, August 21, 2009",6/19/2009
Saint-Gobain Crystals ,Washougal,58,"Monday, August 10, 2009",6/10/2009
KeyCorp ,Tacoma,240,"Monday, August 03, 2009",6/4/2009
"Merck & Co., Inc. ",Seattle,40,"Friday, July 31, 2009",6/1/2009
Ruan Transportation ,Seattle,81,"Friday, July 31, 2009",5/27/2009
Shaw Industries ,Algona,62,"Friday, July 31, 2009",5/28/2009
Johnson Controls Inc ,Bellevue,45,"Friday, July 31, 2009",5/15/2009
Boeing ,Puget Sound,117,"Friday, July 24, 2009",5/22/2009
Weyerhaeuser Forest Operation ,Cosmopolis,53,"Tuesday, July 21, 2009",5/22/2009
Amgen ,Bothell,101,"Monday, July 13, 2009",5/14/2009
Microsoft ,Redmond,1200,"Saturday, July 04, 2009",5/5/2009
Coast Engine & Equipment ,Tacoma,111,"Friday, July 03, 2009",5/4/2009
ZymoGenetics ,Seattle,170,"Tuesday, June 30, 2009",4/29/2009
Microsoft ,Seattle,2,"Tuesday, June 30, 2009",4/1/2009
Boeing ,Puget Sound,119,"Friday, June 19, 2009",4/16/2009
Liberty Mutual Insurance ,Bothell,100,"Tuesday, June 16, 2009",4/17/2009
